"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 17:12:37 GMT 2024","Wed Dec 18 17:12:37 GMT 2024","154","tests.login","test_login_page","TestLoginInitPage","","","Login Page Initial State Check: Page Header & Information",""
"passed","Wed Dec 18 17:12:51 GMT 2024","Wed Dec 18 17:12:52 GMT 2024","985","tests.login","test_login_success_page","TestLoginSuccessPage","","","Logout action should returns to Login Page with correct information",""
"passed","Wed Dec 18 17:12:41 GMT 2024","Wed Dec 18 17:12:43 GMT 2024","1227","tests.login","test_login_page","TestLoginInitPage","","","Empty username should return the correct banner",""
"passed","Wed Dec 18 17:12:37 GMT 2024","Wed Dec 18 17:12:37 GMT 2024","119","tests.login","test_login_page","TestLoginInitPage","","","Login Page Initial State Check: Page Header & Information",""
"passed","Wed Dec 18 17:12:40 GMT 2024","Wed Dec 18 17:12:41 GMT 2024","776","tests.login","test_login_page","TestLoginInitPage","","","Normal Login Page Action Flow",""
"passed","Wed Dec 18 17:12:44 GMT 2024","Wed Dec 18 17:12:46 GMT 2024","1377","tests.login","test_login_page","TestLoginInitPage","","","Invalid password should return the correct banner",""
"passed","Wed Dec 18 17:12:46 GMT 2024","Wed Dec 18 17:12:47 GMT 2024","1294","tests.login","test_login_page","TestLoginInitPage","","","Empty password should return the correct banner",""
"passed","Wed Dec 18 17:12:49 GMT 2024","Wed Dec 18 17:12:49 GMT 2024","380","tests.login","test_login_success_page","TestLoginSuccessPage","","","Login Page Initial State Check: Logout Component",""
"passed","Wed Dec 18 17:12:46 GMT 2024","Wed Dec 18 17:12:47 GMT 2024","1495","tests.login","test_login_page","TestLoginInitPage","","","Invalid password should return the correct banner",""
"passed","Wed Dec 18 17:12:40 GMT 2024","Wed Dec 18 17:12:41 GMT 2024","1196","tests.login","test_login_page","TestLoginInitPage","","","Empty username should return the correct banner",""
"passed","Wed Dec 18 17:12:37 GMT 2024","Wed Dec 18 17:12:38 GMT 2024","228","tests.login","test_login_page","TestLoginInitPage","","","Login Page Initial State Check: Login Form Component",""
"passed","Wed Dec 18 17:12:48 GMT 2024","Wed Dec 18 17:12:49 GMT 2024","863","tests.login","test_login_success_page","TestLoginSuccessPage","","","Login Success Initial State Check: Page Header & Information",""
"passed","Wed Dec 18 17:12:42 GMT 2024","Wed Dec 18 17:12:44 GMT 2024","1468","tests.login","test_login_page","TestLoginInitPage","","","Invalid username should return the correct banner",""
"passed","Wed Dec 18 17:12:44 GMT 2024","Wed Dec 18 17:12:45 GMT 2024","1298","tests.login","test_login_page","TestLoginInitPage","","","Empty password should return the correct banner",""
"passed","Wed Dec 18 17:12:40 GMT 2024","Wed Dec 18 17:12:41 GMT 2024","1474","tests.login","test_login_page","TestLoginInitPage","","","Invalid username should return the correct banner",""
"passed","Wed Dec 18 17:12:49 GMT 2024","Wed Dec 18 17:12:50 GMT 2024","739","tests.login","test_login_success_page","TestLoginSuccessPage","","","Login Success Initial State Check: Page Header & Information",""
